case,criterion,scope,context_mode,assessment_status,display_label,raw_score,score_used_for_assessment,probability_level_0,probability_level_1,probability_level_2,assessability_choice,p_assessable,p_needs_context,p_not_applicable,provider_score_confidence,provider_assessability_confidence,input_hash,run_id
sentence-none,Clarity for new volunteers,selection,none,uncertain_assessability,uncertain_assessability,1.02,False,0.11,0.76,0.13,assessable,0.6,0.4,0,0.64,0.4,69435856631f4c736c95aed21ef79df066c671e716e7fe0da5e944abe1ee77f7,7a557b26-1ae2-4240-a120-0f8af16e2f91
sentence-none,Conciseness,selection,none,assessed,Focused,1.96,True,0.02,0.01,0.97,assessable,0.78,0.12,0.1,0.94,0.67,69435856631f4c736c95aed21ef79df066c671e716e7fe0da5e944abe1ee77f7,7a557b26-1ae2-4240-a120-0f8af16e2f91
sentence-none,Support for reliability claims,selection,none,not_applicable,not_applicable,1.79,False,0.1,0.01,0.89,not_applicable,0.08,0.04,0.88,0.69,0.81,69435856631f4c736c95aed21ef79df066c671e716e7fe0da5e944abe1ee77f7,7a557b26-1ae2-4240-a120-0f8af16e2f91
sentence-none,Consistent retention advice,selection,none,incompatible_scope,incompatible_scope,,False,,,,,,,,,,69435856631f4c736c95aed21ef79df066c671e716e7fe0da5e944abe1ee77f7,7a557b26-1ae2-4240-a120-0f8af16e2f91
sentence-nearby,Clarity for new volunteers,selection,nearby,assessed,Mixed assessment,1.37,True,0.07,0.49,0.44,assessable,0.98,0.02,0,0.23,0.98,94e1d7aa28adec5c710485acf0590fe0c4684012422a7909007b759a63ad36ea,ccb753aa-8915-4742-b76c-df0be9576e03
sentence-nearby,Conciseness,selection,nearby,assessed,Focused,1.92,True,0.03,0.03,0.94,assessable,0.95,0.01,0.04,0.88,0.92,94e1d7aa28adec5c710485acf0590fe0c4684012422a7909007b759a63ad36ea,ccb753aa-8915-4742-b76c-df0be9576e03
sentence-nearby,Support for reliability claims,selection,nearby,not_applicable,not_applicable,1.83,False,0.06,0.06,0.88,not_applicable,0.17,0.01,0.82,0.74,0.74,94e1d7aa28adec5c710485acf0590fe0c4684012422a7909007b759a63ad36ea,ccb753aa-8915-4742-b76c-df0be9576e03
sentence-nearby,Consistent retention advice,selection,nearby,incompatible_scope,incompatible_scope,,False,,,,,,,,,,94e1d7aa28adec5c710485acf0590fe0c4684012422a7909007b759a63ad36ea,ccb753aa-8915-4742-b76c-df0be9576e03
paragraph-none,Clarity for new volunteers,selection,none,assessed,Partly clear,1.12,True,0.11,0.66,0.23,assessable,0.97,0.03,0,0.49,0.95,117e44c89ff877480d326abcd85a7a62c8034394ce8754bd91d7fd20a829c441,cf51a78e-c3a6-4260-b793-ea07b1e06d75
paragraph-none,Conciseness,selection,none,assessed,Repetitive,0.09,True,0.91,0.09,0,assessable,1,0,0,0.87,1,117e44c89ff877480d326abcd85a7a62c8034394ce8754bd91d7fd20a829c441,cf51a78e-c3a6-4260-b793-ea07b1e06d75
paragraph-none,Support for reliability claims,selection,none,assessed,Unsupported,0.19,True,0.82,0.18,0,assessable,1,0,0,0.72,1,117e44c89ff877480d326abcd85a7a62c8034394ce8754bd91d7fd20a829c441,cf51a78e-c3a6-4260-b793-ea07b1e06d75
paragraph-none,Consistent retention advice,selection,none,incompatible_scope,incompatible_scope,,False,,,,,,,,,,117e44c89ff877480d326abcd85a7a62c8034394ce8754bd91d7fd20a829c441,cf51a78e-c3a6-4260-b793-ea07b1e06d75
paragraph-nearby,Clarity for new volunteers,selection,nearby,assessed,Mixed assessment,1.16,True,0.15,0.55,0.3,assessable,1,0,0,0.32,1,5bc56f47d25047d4886e2ca9176906a33c93fec07d1e113dda8497003ca5a521,009e1aa5-de17-4136-9fd0-a83dbd4966d8
paragraph-nearby,Conciseness,selection,nearby,assessed,Repetitive,0.03,True,0.98,0.02,0,assessable,1,0,0,0.96,1,5bc56f47d25047d4886e2ca9176906a33c93fec07d1e113dda8497003ca5a521,009e1aa5-de17-4136-9fd0-a83dbd4966d8
paragraph-nearby,Support for reliability claims,selection,nearby,assessed,Unsupported,0.04,True,0.96,0.04,0,assessable,1,0,0,0.94,1,5bc56f47d25047d4886e2ca9176906a33c93fec07d1e113dda8497003ca5a521,009e1aa5-de17-4136-9fd0-a83dbd4966d8
paragraph-nearby,Consistent retention advice,selection,nearby,incompatible_scope,incompatible_scope,,False,,,,,,,,,,5bc56f47d25047d4886e2ca9176906a33c93fec07d1e113dda8497003ca5a521,009e1aa5-de17-4136-9fd0-a83dbd4966d8
whole-document,Clarity for new volunteers,document,none,assessed,Partly clear,0.99,True,0.12,0.77,0.11,assessable,1,0,0,0.67,1,f0366527e61edffdd344d94cc4404b478c269fe6588eaa0c0c84a7a1a853ba8d,5b18e57a-e85c-4ca0-850a-2d0663c207a2
whole-document,Conciseness,document,none,assessed,Some repetition,0.94,True,0.07,0.92,0.01,assessable,1,0,0,0.89,1,f0366527e61edffdd344d94cc4404b478c269fe6588eaa0c0c84a7a1a853ba8d,5b18e57a-e85c-4ca0-850a-2d0663c207a2
whole-document,Support for reliability claims,document,none,assessed,Unsupported,0.07,True,0.93,0.07,0,assessable,1,0,0,0.89,1,f0366527e61edffdd344d94cc4404b478c269fe6588eaa0c0c84a7a1a853ba8d,5b18e57a-e85c-4ca0-850a-2d0663c207a2
whole-document,Consistent retention advice,document,none,assessed,Conflicting,0,True,1,0,0,assessable,1,0,0,0.99,1,f0366527e61edffdd344d94cc4404b478c269fe6588eaa0c0c84a7a1a853ba8d,5b18e57a-e85c-4ca0-850a-2d0663c207a2
